               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,             0.10009,            0.015284,                   0,             0.37995,             0.29323,             0.24864,            0.072904,            0.071476,           0.0087511,                   0,            0.070122,           0.0033197,           0.0033197
                   1,            0.071313,            0.013445,                   0,             0.51769,                 0.5,             0.42419,             0.15779,            0.059681,           0.0079488,                   0,            0.039991,           0.0065213,           0.0065213
                   2,            0.066818,            0.012524,                   0,             0.49221,             0.46992,             0.37983,             0.11598,            0.063325,           0.0079501,                   0,            0.009727,           0.0095909,           0.0095909
                   3,            0.063847,            0.012046,                   0,             0.52193,                 0.5,             0.43857,             0.16088,            0.058855,           0.0072278,                   0,            0.009406,            0.009406,            0.009406
                   4,            0.061165,            0.011166,                   0,             0.56607,             0.51128,              0.4682,              0.1647,            0.059348,           0.0069829,                   0,            0.009406,            0.009406,            0.009406
                   5,             0.05993,            0.010925,                   0,             0.56666,             0.49248,             0.47776,             0.16888,            0.058059,           0.0066742,                   0,            0.009208,            0.009208,            0.009208
                   6,            0.058885,            0.010731,                   0,             0.66427,             0.56532,             0.54964,             0.20359,             0.05559,           0.0067211,                   0,             0.00901,             0.00901,             0.00901
                   7,            0.058316,            0.010658,                   0,             0.67952,             0.53759,             0.56607,             0.21383,            0.053175,           0.0067544,                   0,            0.008812,            0.008812,            0.008812
                   8,            0.057548,            0.010639,                   0,             0.57129,             0.48595,             0.47469,             0.17309,            0.058767,           0.0067319,                   0,            0.008614,            0.008614,            0.008614
                   9,            0.056433,            0.010305,                   0,             0.73216,             0.60902,             0.61167,             0.24534,            0.052765,           0.0063906,                   0,            0.008416,            0.008416,            0.008416
                  10,            0.056752,            0.010209,                   0,             0.65056,             0.59398,             0.56993,             0.21515,             0.05378,           0.0064763,                   0,            0.008218,            0.008218,            0.008218
                  11,            0.056474,            0.010466,                   0,              0.7023,             0.52632,             0.57039,             0.21122,            0.054736,           0.0066342,                   0,             0.00802,             0.00802,             0.00802
                  12,            0.055683,            0.010259,                   0,             0.65309,             0.60159,             0.58367,             0.21866,            0.055291,           0.0065359,                   0,            0.007822,            0.007822,            0.007822
                  13,            0.055435,            0.010238,                   0,             0.69476,              0.6015,             0.60623,             0.21137,            0.057439,           0.0065115,                   0,            0.007624,            0.007624,            0.007624
                  14,            0.055152,            0.010173,                   0,             0.72084,             0.59217,              0.6243,             0.25286,            0.052494,           0.0063202,                   0,            0.007426,            0.007426,            0.007426
                  15,            0.054779,            0.010301,                   0,             0.73025,             0.58647,             0.62305,             0.24266,            0.053301,           0.0063287,                   0,            0.007228,            0.007228,            0.007228
                  16,            0.054454,           0.0099094,                   0,             0.77629,             0.58271,             0.63362,             0.25115,            0.052066,           0.0062936,                   0,             0.00703,             0.00703,             0.00703
                  17,            0.053997,            0.010128,                   0,             0.70919,             0.58271,             0.57773,             0.22116,             0.05363,           0.0062156,                   0,            0.006832,            0.006832,            0.006832
